
  0%|                                                                                                                                                                                        | 0/5421 [00:00<?, ?it/s]
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii


  1%|▉                                                                                                                                                                              | 30/5421 [00:12<10:01,  8.96it/s]
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii


  1%|██▏                                                                                                                                                                            | 66/5421 [00:16<09:24,  9.48it/s]
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii

  2%|██▋                                                                                                                                                                            | 83/5421 [00:18<09:55,  8.97it/s]
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii

  2%|███▎                                                                                                                                                                          | 102/5421 [00:20<10:33,  8.40it/s]
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii

  2%|███▋                                                                                                                                                                          | 115/5421 [00:22<09:31,  9.29it/s]
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii

  2%|████▎                                                                                                                                                                         | 133/5421 [00:24<10:44,  8.21it/s]
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii

  3%|████▊                                                                                                                                                                         | 151/5421 [00:26<09:32,  9.21it/s]
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii


  3%|██████                                                                                                                                                                        | 189/5421 [00:30<09:30,  9.18it/s]
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
Actual class: bewickii, Predicted class: bewickii
